X Field (G)	Y Field (G)	Z Field (G)	Field Mag (G)	Phi (Deg)	Theta (Deg)	S21 Abs (dB)	S12 Abs (dB)	S11 Abs (dB)
4.867366	0.697762	-0.038170	4.917274	8.158060	90.444764	-26.920017	-26.030956	-18.499987
4.504877	0.637704	0.238523	4.556037	8.057179	86.999018	-27.221672	-26.086073	-18.499832
3.932187	0.777123	-0.061764	4.008719	11.179377	90.882821	-27.539511	-26.192421	-18.499489
2.716025	0.684892	0.047626	2.801452	14.153050	89.025902	-28.204166	-26.468136	-18.498825
1.096620	0.382460	0.193479	1.177406	19.226880	80.541866	-29.550447	-27.168259	-18.498446
0.596856	0.030696	-0.207618	0.632681	2.944061	109.156896	-31.269802	-28.232944	-18.499493
-0.128122	-0.207389	-0.051040	0.249059	-121.707192	101.825442	-32.349884	-29.009645	-18.499819
-1.290662	0.084318	-0.340602	1.337508	176.262205	104.753113	-33.355343	-29.777142	-18.500134
-2.309492	-0.724312	0.086234	2.421945	-162.587338	87.959534	-36.824753	-33.056576	-18.500069
-3.176035	-0.597762	-0.237647	3.240523	-169.341041	94.205615	-38.032402	-34.289822	-18.499952
-4.329995	-1.020309	-0.160430	4.451474	-166.740844	92.065375	-39.287128	-35.658772	-18.499727
-4.808309	-1.176887	0.335043	4.961567	-166.246613	86.128000	-39.675198	-36.242039	-18.499689
-5.842154	-1.221930	-0.166865	5.970906	-168.186465	91.601415	-39.628559	-36.438786	-18.498987
-6.800927	-1.453580	0.043336	6.954667	-167.935546	89.642976	-38.529377	-35.696365	-18.498991
-8.304507	-1.882561	-0.263386	8.519287	-167.227403	91.771662	-32.368233	-30.269470	-18.502617
-9.168905	-1.809634	-0.214053	9.348230	-168.835227	91.312055	-31.427870	-29.684698	-18.503836
-9.814522	-2.184993	-0.106807	10.055369	-167.449006	90.608604	-30.682487	-29.202892	-18.504908
-11.011380	-2.262210	-0.342747	11.246580	-168.390523	91.746399	-29.961113	-28.751646	-18.504944
-11.719199	-2.742669	0.000438	12.035857	-166.828013	89.997916	-29.370461	-28.364573	-18.504972
-12.560002	-2.652583	0.356492	12.841999	-168.074777	88.409271	-28.936338	-28.053770	-18.504971
-13.846947	-2.792002	-0.214053	14.127244	-168.600129	90.868166	-28.530611	-27.773064	-18.505333
-15.155340	-3.070840	0.032611	15.463358	-168.545564	89.879166	-28.087072	-27.466402	-18.504854
-15.674407	-3.437619	0.330754	16.050348	-167.630071	88.819208	-27.867559	-27.318882	-18.504547
-16.697528	-3.802253	-0.111097	17.125329	-167.171721	90.371698	-27.659056	-27.167767	-18.504227
-17.439666	-4.053207	-0.063909	17.904595	-166.915990	90.204514	-27.501184	-27.050388	-18.504011
-18.359831	-4.580854	0.049771	18.922740	-165.990498	89.849300	-27.371790	-26.963072	-18.503370
-19.893439	-4.267698	0.124842	20.346443	-167.891976	89.648440	-27.253683	-26.873863	-18.503290
-21.002356	-4.540101	-0.600136	21.495852	-167.802005	91.599831	-27.115149	-26.775293	-18.502533
-22.040491	-4.700969	-0.297704	22.538212	-167.959917	90.756834	-27.032209	-26.714899	-18.502399
-23.222335	-5.125661	-0.220488	23.782301	-167.553176	90.531201	-26.906406	-26.624434	-18.501345
-24.114616	-5.140675	-0.076779	24.656584	-167.966007	90.178415	-26.872381	-26.595747	-18.501417
-24.762378	-5.398064	-0.059620	25.343993	-167.702226	90.134783	-26.834766	-26.568689	-18.501444
-25.232112	-5.580381	-0.424254	25.845312	-167.529101	90.940559	-26.782717	-26.530266	-18.501535
-27.216151	-5.621134	0.221363	27.791456	-168.330404	89.543625	-26.701956	-26.466717	-18.501333
-27.984028	-6.373996	-0.123967	28.701028	-167.168500	90.247475	-26.659483	-26.435268	-18.501066
-28.312199	-6.009362	-0.372776	28.945328	-168.016617	90.737911	-26.638144	-26.419897	-18.500647
-29.747141	-6.356837	-0.186169	30.419344	-167.937566	90.350657	-26.594957	-26.387131	-18.500685
-30.135370	-6.431909	0.051916	30.814163	-167.951915	89.903468	-26.563255	-26.362864	-18.500616
-30.999767	-6.468372	-0.188314	31.667978	-168.213843	90.340712	-26.536850	-26.340864	-18.500420
-32.428275	-7.161177	-0.269820	33.210665	-167.547160	90.465505	-26.495445	-26.310402	-18.500174
-33.464265	-6.957411	0.077655	34.179945	-168.255196	89.869828	-26.479708	-26.297533	-18.500406
-34.425183	-7.144018	0.004728	35.158644	-168.276215	89.992296	-26.449305	-26.274326	-18.499966
-35.508361	-7.390682	0.236378	36.270123	-168.242371	89.626592	-26.431017	-26.259619	-18.499777
